Code,Metric,Year,Value
EST,rgdpe,2019,49202.89063
EST,pop,2019,1.325648
ETH,rgdpe,1960,12043.13574
ETH,pop,1960,23.30470162
ETH,rgdpe,1970,17809.96875
ETH,pop,1970,28.415077
ETH,rgdpe,1980,24431.36719
ETH,pop,1980,35.141712
ETH,rgdpe,1990,37358.69531
ETH,pop,1990,47.887865
ETH,rgdpe,2000,36725.35938
ETH,pop,2000,66.224804
ETH,rgdpe,2010,88595.6875
ETH,pop,2010,87.639964
ETH,rgdpe,2019,286064.75
ETH,pop,2019,112.07873
FIN,rgdpe,1960,44333.85156
FIN,pop,1960,4.435426298
FIN,rgdpe,1970,74976.59375
FIN,pop,1970,4.612366
FIN,rgdpe,1980,101756.1016
FIN,pop,1980,4.788243
FIN,rgdpe,1990,136178.1094
FIN,pop,1990,4.996222
FIN,rgdpe,2000,186033.2969
FIN,pop,2000,5.187954
FIN,rgdpe,2010,234644.2656
FIN,pop,2010,5.365782
FIN,rgdpe,2019,260989.3906
FIN,pop,2019,5.532156
FJI,rgdpe,1960,1147.575684
FJI,pop,1960,0.393017303
FJI,rgdpe,1970,1906.361694
FJI,pop,1970,0.520562
FJI,rgdpe,1980,3738.470947
FJI,pop,1980,0.635307
FJI,rgdpe,1990,4506.609863
FJI,pop,1990,0.728573
FJI,rgdpe,2000,5110.288574
FJI,pop,2000,0.811006
FJI,rgdpe,2010,6952.564941
FJI,pop,2010,0.859818
FJI,rgdpe,2019,12235.07422
FJI,pop,2019,0.889953
FRA,rgdpe,1960,527993.9375
FRA,pop,1960,46.61930245
FRA,rgdpe,1970,922963.8125
FRA,pop,1970,51.957738
FRA,rgdpe,1980,1376238.625
FRA,pop,1980,55.161527
FRA,rgdpe,1990,1581378.375
FRA,pop,1990,58.235697
FRA,rgdpe,2000,2135417.25
FRA,pop,2000,60.874357
FRA,rgdpe,2010,2613714.25
FRA,pop,2010,64.952503
FRA,rgdpe,2019,3018638.5
FRA,pop,2019,67.351247
GAB,rgdpe,1960,1490.965942
GAB,pop,1960,0.510778339
GAB,rgdpe,1970,3539.060303
GAB,pop,1970,0.589314
GAB,rgdpe,1980,10133.26953
GAB,pop,1980,0.726328
GAB,rgdpe,1990,9088.370117
GAB,pop,1990,0.949488
GAB,rgdpe,2000,13194.67969
GAB,pop,2000,1.22836
GAB,rgdpe,2010,24002.44531
GAB,pop,2010,1.62414
GAB,rgdpe,2019,33363.59766
GAB,pop,2019,2.172579
GBR,rgdpe,1960,672817.9375
GBR,pop,1960,52.31688549
GBR,rgdpe,1970,905935.375
GBR,pop,1970,55.573453
GBR,rgdpe,1980,1201675.125
GBR,pop,1980,56.209171
GBR,rgdpe,1990,1439636.25
GBR,pop,1990,57.134391
GBR,rgdpe,2000,2101090
GBR,pop,2000,58.923309
GBR,rgdpe,2010,2546650.5
GBR,pop,2010,63.459808
GBR,rgdpe,2019,3118860.25
GBR,pop,2019,67.530172
GEO,rgdpe,1990,64977.89453
GEO,pop,1990,5.410399
GEO,rgdpe,2000,15579.99121
GEO,pop,2000,4.362187
GEO,rgdpe,2010,32879.27734
GEO,pop,2010,4.099099
